Filename,Nucleus_ID,Condition,Area_um2,Equivalent_diameter_um,Perimeter_um,Eccentricity,Solidity,Orientation_rad,DAPI_mean_intensity,DAPI_integrated_intensity,Actin_mean_intensity,Centroid_y_px,Centroid_x_px
MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #3.tif,MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #3_nucleus_0001,DMSO,205.09159256349884,16.15953978133532,56.275215222247866,0.7920174231626598,0.9912162826521582,0.2978660524453368,3687.092529296875,111508739.36352539,5636.3662109375,298.8528585127137,466.9053995966009
MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #4.tif,MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #4_nucleus_0001,DMSO,156.6991181220371,14.124996064357115,46.82398847167188,0.5468786789115847,0.9926113664676318,-1.0810632953467798,3838.780517578125,88702701.41967773,2395.072021484375,333.41788202709137,412.74397368762715
MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #5.tif,MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #5_nucleus_0001,DMSO,164.1722833174534,14.457892075584413,49.141482083431875,0.6445362019245525,0.9848262956634937,-1.4446592140998649,3776.529052734375,91425991.83764648,4370.04833984375,345.89631955058036,421.09517121731585
MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #6.tif,MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #6_nucleus_0001,DMSO,157.91299885704572,14.1796006563129,48.80865542343989,0.7706106162344336,0.9900089281918286,-1.5394023936120282,3611.35107421875,84093921.11425781,3155.72265625,321.21270291162074,444.93747315983853
MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #01.tif,MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #01_nucleus_0001,LatA,250.8392989230982,17.87116433706917,59.715925286927835,0.442131528721776,0.9898311434611576,0.6195728501587222,4539.61328125,167915755.66015625,120.68858337402344,294.2692151720782,440.2684041201438
MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #02.tif,MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #02_nucleus_0001,LatA,162.714270144119,14.39354866737916,48.01684559872788,0.10119233846800442,0.9867982726711906,1.0614038608512926,3487.18017578125,83671401.13769531,156.65061950683594,297.9055180461782,638.7669834125198
MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #02.tif,MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #02_nucleus_0002,LatA,155.80396584817598,14.084593375190652,48.105047604607876,0.6219491723774755,0.9817536962652764,1.0011902702557243,3693.0556640625,84847953.88183594,172.72923278808594,402.01179542981504,401.01388465723613
MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #03.tif,MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #03_nucleus_0001,LatA,160.86293248681534,14.31143063862855,47.892109125783875,0.31187477932978047,0.9857463430851063,0.7882004556732815,3619.398193359375,85855744.54467773,148.8829803466797,273.0400067450782,503.25500611272713
MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #03.tif,MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #03_nucleus_0002,LatA,137.4736886038835,13.230152557361997,44.20878263519988,0.4568695851940882,0.9911019849418207,-1.006774956853599,3961.956298828125,80316778.08984375,293.4132385253906,421.07315509076557,362.8442679558011
MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #04.tif,MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #04_nucleus_0001,LatA,140.14558251222653,13.358102323103815,47.27126682463191,0.726475994081947,0.9909374250779189,1.5191518464100109,4603.72412109375,95140562.68652344,73.3359146118164,56.33973676570212,555.0411787477016
MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #04.tif,MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #04_nucleus_0002,LatA,232.17673030441787,17.193504424371888,57.474928869287844,0.23764773630269143,0.9898805909734871,1.1963389918842275,4397.419921875,150554465.86523438,64.4120101928711,500.8921634489003,274.5449367643193
MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #05.tif,MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #05_nucleus_0001,LatA,218.7969163928422,16.690742530441234,56.32688276106386,0.34964771063184863,0.9858225372769494,-1.0172791600866415,4481.5107421875,144591462.5859375,135.4615020751953,315.72464666501367,433.6548165137615
MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #06.tif,MAX_LatA-Airyscan Processing-09.czi - LatA-Airyscan Processing-09.czi #06_nucleus_0001,LatA,159.26929018107774,14.240363707449609,47.639207919903875,0.35996618197388147,0.9870140785879387,-1.5275056842078223,5068.7373046875,119044364.33789062,359.2522277832031,212.59269351954356,303.1581367623265
